symbol,timeframe,strategy_id,strategy_name,status,trades,wins,losses,win_rate_pct,net_profit,total_return_pct,profit_factor,expectancy,max_drawdown_pct,sharpe,sortino,bars,error
USDJPY,1h,balance_of_power_shift,Balance of Power Shift,OK,45,20,25,44.44,581.58,5.82,1.4606788947949971,12.92,3.17,1.558,2.537,288,
USDJPY,1h,roc_acceleration,Rate-of-Change Acceleration,OK,16,14,2,87.5,2781.9,27.82,47.44232372821925,173.87,0.73,6.156,8.541,288,
USDJPY,1h,ulcer_index_calm_entry,Ulcer Index Low-Stress Entry,OK,23,7,16,30.43,-5.95,-0.06,0.9961609486583413,-0.26,4.78,0.012,0.015,288,
USDJPY,1h,entropy_regime_filter,Entropy Regime Filter,OK,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,288,
USDJPY,1h,kama_adaptive_trend,KAMA Adaptive Trend,OK,15,11,4,73.33,2414.49,24.14,7.233332973185117,160.97,1.41,5.252,7.602,288,
USDJPY,1h,hull_ma_momentum,Hull Moving Average Momentum,OK,20,17,3,85.0,3559.08,35.59,13.680475696108186,177.95,1.16,6.685,8.335,288,
USDJPY,1h,hidden_rsi_divergence_v2,Hidden RSI Divergence (Trend Continuation),OK,35,11,24,31.43,433.98,4.34,1.5742814985552713,12.4,2.29,1.327,0.994,288,
USDJPY,1h,macd_divergence_confluence,MACD Divergence Confluence,OK,5,4,1,80.0,1103.5,11.03,20.12758392489766,220.7,0.81,3.695,3.837,288,
USDJPY,1h,elder_ray_supertrend_combo,Elder Ray + SuperTrend Combo,OK,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,288,
USDJPY,1h,range_position_breakout,Range Position Breakout,OK,11,8,3,72.73,753.43,7.53,47.993957821135794,68.49,0.56,3.427,2.328,288,
USDJPY,4h,rsi_reversal,RSI Mean Reversion,OK,8,5,3,62.5,726.45,7.26,3.391656366918847,90.81,2.5,2.683,3.356,180,
USDJPY,1h,mean_reversion_zscore,Mean Reversion Z-Score Fade,OK,18,2,16,11.11,-940.23,-9.4,0.13730721277775623,-52.24,9.4,-3.9,-2.903,288,
USDJPY,4h,macd_trend,MACD Trend Following,OK,10,3,7,30.0,72.27,0.72,1.1132584216714967,7.23,4.06,0.344,0.4,180,
USDJPY,4h,bb_squeeze,Bollinger Band Squeeze,OK,13,11,2,84.62,2186.31,21.86,10.45075375297522,168.18,1.77,6.107,8.932,180,
USDJPY,4h,adx_strength,ADX Strength Entry,OK,7,5,2,71.43,1077.03,10.77,6.026531725434574,153.86,3.84,4.047,6.231,180,
USDJPY,4h,ichimoku_trend,Ichimoku Cloud Trend,OK,19,7,12,36.84,642.38,6.42,1.574989152217252,33.81,5.56,1.738,2.821,180,
USDJPY,4h,supertrend_follow,SuperTrend Follow,OK,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,180,
USDJPY,4h,elder_ray,Elder Ray Power,OK,14,10,3,71.43,1765.31,17.65,8.56213151084858,126.09,2.34,5.793,11.366,180,
USDJPY,4h,choppiness_reversal,Choppiness Reversal,OK,18,15,3,83.33,1019.07,10.19,7.33415941874489,56.62,1.05,5.523,7.057,180,
